Topic Area,Jurisdiction Level,Jurisdiction Name,Year Enacted,Policy Name / Number,Brief Description,Partisan Control at Passage,Current Status,Implementing Agency,Source Link
License Plate Readers,State,Virginia,2024,HB 1592 / VA Code 46.2-819.3:1,First statewide ALPR regulation in Virginia; defines authorized users; 21-day data retention; restricts data sharing.,Divided government,Active,Virginia State Police,https://lis.virginia.gov/cgi-bin/legp604.exe?241+ful+HB1592ER
License Plate Readers,State,Idaho,2024,HB 563,Defines authorized ALPR use for law enforcement and traffic flow; requires training; prohibits non-law enforcement purposes.,Republican trifecta,Active,Idaho State Police,https://legislature.idaho.gov/sessioninfo/2024/legislation/H0563/
License Plate Readers,State,Georgia,2022,Ga. Code Ann. 35-1-22 / 40-14-5 to 6,Limits ALPR data retention to 30 months; restricts sharing to criminal justice agencies; prohibits sale.,Republican trifecta,Active,Georgia Bureau of Investigation,https://law.justia.com/codes/georgia/title-35/chapter-1/article-2/section-35-1-22/
License Plate Readers,State,Arkansas,2017,Ark. Code 12-12-1801 et seq.,Authorizes law enforcement ALPR use; restricts data sharing; 2025 amendment expanded access to private entities.,Republican trifecta,Active (amended 2025),Arkansas State Police,https://www.arkleg.state.ar.us/Acts/FTPDocument?path=%2FACTS%2F2017R%2FPublic%2F&file=1098.pdf
Facial Recognition Technology,City,"San Francisco, CA",2019,Ordinance No. 107-19 (Stop Secret Surveillance),"First U.S. city to ban government use of facial recognition technology, including by police.",Democratic supermajority (nonpartisan council),Active,SF Board of Supervisors / Committee on Information Technology,https://sfbos.org/sites/default/files/o0107-19.pdf
Facial Recognition Technology,City,"Somerville, MA",2019,Ordinance 2019-16,Second U.S. city to ban municipal use of facial recognition; includes biometric surveillance.,Nonpartisan council (Democratic-leaning),Active,City of Somerville,https://www.somervillema.gov/sites/default/files/1234_1.pdf
Facial Recognition Technology,City,"Oakland, CA",2019,Ordinance No. 13563,Bans city acquisition and use of facial recognition technology as amendment to existing surveillance ordinance.,Nonpartisan council (Democratic-leaning),Active,City of Oakland Privacy Advisory Commission,https://oaklandprivacy.org/oakland-passes-facial-recognition-ban/
Facial Recognition Technology,City,"Boston, MA",2020,Ordinance (Docket #0685),Bans city use of facial recognition and prohibits police from requesting other agencies use it on their behalf.,Nonpartisan council (Democratic-leaning),Active,City of Boston,https://www.boston.gov/news/boston-bans-use-facial-recognition-technology
Facial Recognition Technology,City,"Portland, OR",2020,Ordinance Nos. 190114 / 190115,Bans both government and private-sector use of facial recognition in places of public accommodation; broadest U.S. ban.,Nonpartisan council (Democratic-leaning),Active,City of Portland,https://www.portland.gov/smart-city-pdx/facial-recognition-ban
Facial Recognition Technology,City,"Minneapolis, MN",2021,Ordinance No. 2021-017,Bans city departments from procuring or using facial recognition technology; bans use of data obtained from it.,Nonpartisan council (Democratic-leaning),Active,City of Minneapolis,https://lims.minneapolismn.gov/RCA/RacialEquity/7483
Facial Recognition Technology,City,"New Orleans, LA",2020,Ordinance No. 033271 MCS,Bans city use of facial recognition and predictive policing technology. Amended in 2022 to allow limited use for violent crimes.,Democratic city council,Amended (2022),City of New Orleans OPCD,https://thelensnola.org/2020/07/08/city-council-considers-ordinance-to-ban-facial-recognition/
Facial Recognition Technology,City,"Pittsburgh, PA",2020,Ordinance No. 2020-0833,Bans city use of facial recognition technology by city departments.,Democratic council,Active,City of Pittsburgh,https://pittsburgh.legistar.com/LegislationDetail.aspx?ID=4599810
Facial Recognition Technology,City,"Santa Cruz, CA",2020,Ordinance,Bans municipal use of facial recognition technology and predictive policing tools.,Nonpartisan council,Active,City of Santa Cruz,https://www.cityofsantacruz.com/government/city-council
Facial Recognition Technology,County,"King County, WA",2021,Ordinance 19364,Bans county use of facial recognition with narrow exceptions for redacting recordings; requires council approval for surveillance tech.,Democratic council,Active,King County Council,https://mkcclegisearch.kingcounty.gov/LegislationDetail.aspx?ID=4983750
Facial Recognition Technology,State,Virginia,2021,HB 2031 / SB 1385,Banned local law enforcement from using facial recognition without legislative approval. Amended in 2022 to allow limited use.,Divided government,Amended (2022),Virginia General Assembly,https://lis.virginia.gov/cgi-bin/legp604.exe?211+ful+HB2031ER
Facial Recognition Technology,State,Maryland,2024,HB 33,Limits law enforcement use of facial recognition to serious crimes; requires notice; prohibits sole-basis arrests.,Democratic trifecta,Active,Maryland AG,https://mgaleg.maryland.gov/mgawebsite/Legislation/Details/hb0033
Facial Recognition Technology,State,Montana,2023,SB 389,Requires warrant for law enforcement facial recognition use; notice to defendants; limits to serious crimes.,Republican trifecta,Active,Montana DOJ,https://leg.mt.gov/bills/2023/billpdf/SB0389.pdf
Facial Recognition Technology,State,Washington,2020,SB 6280,Requires government agencies to file notice and test for accuracy and bias before deploying facial recognition; prohibits sole-basis arrests.,Democratic trifecta,Active,Washington state agencies,https://app.leg.wa.gov/billsummary?BillNumber=6280&Year=2019
Surveillance Oversight,City,"Seattle, WA",2017,Ordinance 125376 (Surveillance Ordinance),Requires city council approval before any city department acquires surveillance technology; mandates impact assessments.,Nonpartisan council (Democratic-leaning),Active,Seattle IT / City Council,https://seattle.gov/tech/initiatives/privacy/surveillance-technologies
Surveillance Oversight,City,"Oakland, CA",2018,Ordinance No. 13489 (Surveillance and Community Safety),Requires city council approval and community impact reports before acquiring surveillance equipment.,Nonpartisan council (Democratic-leaning),Active,Oakland Privacy Advisory Commission,https://oaklandprivacy.org/surveillance-oversight-ordinance/
Surveillance Oversight,City,"Nashville, TN",2017,Ordinance BL2017-640,Requires Metro Council approval before police or other agencies acquire surveillance technologies.,Nonpartisan council,Active,Nashville Metro Council,https://www.nashville.gov/departments/law/metro-codes
Surveillance Oversight,City,"Cambridge, MA",2018,Surveillance Technology Ordinance,Requires city council authorization for surveillance technology acquisition; annual reporting.,Nonpartisan council (Democratic-leaning),Active,City of Cambridge,https://www.cambridgema.gov/Departments/citycouncil
Surveillance Oversight,City,"San Francisco, CA",2019,Ordinance No. 107-19 (Stop Secret Surveillance),Requires board of supervisors approval for surveillance tech; bans facial recognition; mandates annual reports.,Democratic supermajority,Active,SF Committee on Information Technology,https://sfbos.org/sites/default/files/o0107-19.pdf
Surveillance Oversight,City,"Davis, CA",2018,Ordinance 2564,Requires city council approval before acquiring surveillance technology; first small city to adopt CCOPS model.,Nonpartisan council,Active,City of Davis,https://www.cityofdavis.org/city-hall/city-clerk/ordinances
Surveillance Oversight,County,"San Diego County, CA",2020,Transparency and Responsible Use of Surveillance Technology (TRUST),Requires public review and board of supervisors approval before county agencies acquire surveillance technology.,Nonpartisan board,Active (compliance disputed),San Diego County Board of Supervisors,https://www.sandiegocounty.gov/content/sdc/cao/oerj/TRUST.html
Surveillance Oversight,State,California,2020,AB 1215 (Body Camera Accountability Act),Three-year moratorium on use of facial recognition and biometric surveillance in police body cameras statewide.,Democratic trifecta,Expired (2023); renewed via AB 642,California Legislature,https://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=201920200AB1215
Consumer Data Privacy,State,California,2018,CCPA (AB 375),"First comprehensive U.S. state consumer privacy law; grants rights to access, delete, and opt out of sale of personal data.",Democratic trifecta,Active (amended by CPRA),California AG / California Privacy Protection Agency,https://oag.ca.gov/privacy/ccpa
Consumer Data Privacy,State,California,2020,CPRA (Proposition 24),Ballot initiative amending and expanding CCPA; created California Privacy Protection Agency; added data minimization and correction rights.,Ballot initiative (56.2% yes),Active,California Privacy Protection Agency,https://cppa.ca.gov/
Consumer Data Privacy,State,Virginia,2021,VCDPA (SB 1392),Second state comprehensive privacy law; grants consumer rights; became model for many subsequent state laws.,Divided government,Active (amended 2024),Virginia AG,https://law.lis.virginia.gov/vacodefull/title59.1/chapter53/
Consumer Data Privacy,State,Colorado,2021,CPA (SB 21-190),Third state comprehensive privacy law; applies to nonprofits; 2024 amendment added neural data as sensitive data category.,Democratic trifecta,Active (amended 2024),Colorado AG,https://coag.gov/resources/colorado-privacy-act/
Consumer Data Privacy,State,Connecticut,2022,CTDPA (SB 6),"Fifth state comprehensive privacy law; later amended (SB 3, 2023) to add children's data protections.",Democratic trifecta,Active (amended 2023),Connecticut AG,https://www.cga.ct.gov/2022/ACT/PA/PDF/2022PA-00015-R00SB-00006-PA.PDF
Consumer Data Privacy,State,Utah,2022,UCPA (SB 227),Fourth state comprehensive privacy law; business-friendly approach with fewer consumer rights than California.,Republican trifecta,Active,Utah AG,https://le.utah.gov/~2022/bills/sbillenr/SB0227.pdf
Consumer Data Privacy,State,Iowa,2023,ICDPA (SF 262),Sixth state comprehensive privacy law; narrower consumer rights; no right to correct data.,Republican trifecta,Active,Iowa AG,https://www.legis.iowa.gov/legislation/BillBook?ba=SF%20262&ga=90
Consumer Data Privacy,State,Indiana,2023,INCDPA (SB 5),"Modeled on Virginia/Colorado framework; effective January 1, 2026.",Republican trifecta,Active,Indiana AG,https://iga.in.gov/legislative/2023/bills/senate/5
Consumer Data Privacy,State,Tennessee,2023,TIPA (HB 1181),Tennessee Information Protection Act; modeled on Virginia framework.,Republican trifecta,Active,Tennessee AG,https://www.tn.gov/attorneygeneral/working-for-tennessee/consumer/resources/tennessee-information-protection-act.html
Consumer Data Privacy,State,Texas,2023,TDPSA (HB 4),Comprehensive privacy law for second-largest state; no revenue threshold; small business exemption.,Republican trifecta,Active,Texas AG,https://capitol.texas.gov/BillLookup/History.aspx?LegSess=88R&Bill=HB4
Consumer Data Privacy,State,Montana,2023,MTCDPA (SB 384),"Low population threshold (50,000 consumers); includes nonprofits.",Republican trifecta,Active,Montana AG,https://leg.mt.gov/bills/2023/billpdf/SB0384.pdf
Consumer Data Privacy,State,Oregon,2023,OCPA (SB 619),Among strongest state privacy laws; applies to nonprofits; includes biometric and sensitive data protections.,Democratic trifecta,Active,Oregon AG,https://olis.oregonlegislature.gov/liz/2023R1/Measures/Overview/SB619
Consumer Data Privacy,State,Delaware,2023,DPDPA (HB 154),Applies to more businesses than most state laws; opt-in consent for minors under 17 (highest threshold).,Democratic trifecta,Active,Delaware AG,https://legis.delaware.gov/BillDetail?legislationId=140388
Consumer Data Privacy,State,New Hampshire,2024,NHPA (SB 255),"Lower applicability thresholds (35,000 consumers); modeled on early Connecticut law.",Divided government,Active,New Hampshire AG,https://www.gencourt.state.nh.us/bill_status/billinfo.aspx?id=1762&inflession=2
Consumer Data Privacy,State,New Jersey,2024,NJDPA (SB 332),Comprehensive privacy law with opt-in consent for sensitive data processing.,Democratic trifecta,Active,New Jersey AG,https://www.njleg.state.nj.us/bill-search/2024/S332
Consumer Data Privacy,State,Kentucky,2024,KCDPA (HB 15),"Modeled on Virginia framework; effective January 1, 2026.",Republican trifecta,Active,Kentucky AG,https://apps.legislature.ky.gov/record/24rs/hb15.html
Consumer Data Privacy,State,Maryland,2024,MODPA (SB 541),Among strongest state privacy laws; strong data minimization; applies to nonprofits.,Democratic trifecta,Active,Maryland AG,https://mgaleg.maryland.gov/mgawebsite/Legislation/Details/sb0541
Consumer Data Privacy,State,Minnesota,2024,MCDPA (HF 4757),"Comprehensive privacy law with consumer rights to access, correct, delete, and port data.",Democratic trifecta,Active,Minnesota AG,https://www.revisor.mn.gov/laws/2024/0/Session+Law/Chapter/121/
Consumer Data Privacy,State,Nebraska,2024,Nebraska Data Privacy Act (LB 1074),Modeled on Texas framework.,Nonpartisan legislature (Republican-leaning),Active,Nebraska AG,https://nebraskalegislature.gov/bills/view_bill.php?DocumentID=55201
Consumer Data Privacy,State,Rhode Island,2024,RIDTPPA,Twentieth state comprehensive privacy law; no cure period for violations.,Democratic trifecta,Active,Rhode Island AG,https://webserver.rilegislature.gov/billtext24/SenateText24/S2500.pdf
Consumer Data Privacy,State,Illinois,2008,BIPA (740 ILCS 14),Biometric Information Privacy Act; private right of action for biometric data violations; generated billions in litigation.,Democratic trifecta,Active,Illinois AG / Private litigation,https://www.ilga.gov/legislation/ilcs/ilcs3.asp?ActID=3004
Consumer Data Privacy,State,Washington,2023,My Health My Data Act (SB 5693),Broad health data privacy law covering consumer health data beyond HIPAA; private right of action.,Democratic trifecta,Active,Washington AG,https://app.leg.wa.gov/billsummary?BillNumber=5693&Year=2023
Consumer Data Privacy,State,California,2023,California Delete Act (SB 362),Requires data brokers to register; creates one-click mechanism for consumers to request deletion from all registered brokers.,Democratic trifecta,Active,California Privacy Protection Agency,https://leginfo.legislature.ca.gov/faces/billNavClient.xhtml?bill_id=202320240SB362
Consumer Data Privacy,State,Vermont,2018,Data Broker Registration Act (9 VSA 2430),First state to require data brokers to register annually with the Secretary of State.,Divided government,Active,Vermont Secretary of State,https://legislature.vermont.gov/statutes/chapter/09/062
Gig Economy Worker Classification,State,California,2019,AB 5,Codified ABC test for worker classification; presumption of employee status. Triggered national debate on gig worker rights.,Democratic trifecta,Active (partially overridden by Prop 22),California DLSE,https://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=201920200AB5
Gig Economy Worker Classification,State,California,2020,Proposition 22,Ballot initiative ($200M+ campaign) exempting app-based drivers from AB5; provides minimum earnings and benefits.,Ballot initiative (58.6% yes),Active (upheld by CA Supreme Court 2024),California DLSE,https://voterguide.sos.ca.gov/propositions/22/
Gig Economy Worker Classification,State,Washington,2022,HB 2076,Establishes framework for TNC (ride-hail) drivers; minimum per-mile/per-minute pay; paid sick leave; workers' comp.,Democratic trifecta,Active,Washington L&I / UTC,https://app.leg.wa.gov/billsummary?BillNumber=2076&Year=2021
Gig Economy Worker Classification,City,"Seattle, WA",2020,Ordinance 126094 (TNC Driver Min. Compensation),Established minimum per-trip compensation for Uber/Lyft drivers; first U.S. city to set rideshare driver minimum wage.,Nonpartisan council (Democratic-leaning),Active,Seattle Office of Labor Standards,https://www.seattle.gov/laborstandards/ordinances/transportation-network-company-702
Gig Economy Worker Classification,City,"Seattle, WA",2022,SMC 8.37 (App-Based Worker Minimum Payment),Minimum payment standards for app-based delivery workers; paid sick time; transparency requirements. Effective Jan 2024.,Nonpartisan council (Democratic-leaning),Active,Seattle Office of Labor Standards,https://www.seattle.gov/laborstandards/ordinances/app-based-worker-ordinances/app-based-worker-minimum-payment-ordinance
Gig Economy Worker Classification,City,"New York City, NY",2023,Delivery Worker Pay Rate (DCWP Rule),"Established minimum pay rate for app-based food delivery workers ($17.96/hr, rising to $19.96 by April 2025).",Democratic council,Active,NYC Dept. of Consumer and Worker Protection,https://www.nyc.gov/site/dca/workers/workersrights/delivery-worker-pay.page
Gig Economy Worker Classification,City,"New York City, NY",2021,Int. 2289-A to 2296-A (Delivery Worker Protections),"Suite of bills granting food delivery workers rights: restroom access, trip transparency, maximum distance settings.",Democratic council,Active,NYC DCWP,https://council.nyc.gov/press/2021/09/23/2086/
Gig Economy Worker Classification,State,Massachusetts,2024,AG Lawsuit / Proposed Ballot,AG sued Uber/Lyft for misclassification (2020); industry-backed ballot initiative to create contractor-plus category withdrew (2024).,Democratic trifecta,Ongoing (litigation),Massachusetts AG,https://www.mass.gov/news/ag-healey-sues-uber-and-lyft
Gig Economy Worker Classification,City,"Minneapolis, MN",2024,Ordinance (Rideshare Driver Minimum Pay),Established minimum pay per ride for Uber/Lyft drivers; triggered threats from companies to leave the market.,Nonpartisan council (Democratic-leaning),Active (amended),Minneapolis City Council,https://www.minneapolismn.gov/government/city-council/
Gig Economy Worker Classification,State,Connecticut,2021,HB 6343,Established task force on gig economy worker classification; studied portable benefits models.,Democratic trifecta,Active (study),Connecticut Dept. of Labor,https://www.cga.ct.gov/2021/ACT/PA/PDF/2021PA-00069-R00HB-06343-PA.PDF
Short-Term Rental Regulation,City,"New York City, NY",2022,Local Law 18 of 2022,Requires STR hosts to register with city; must be primary residence; host must be present; platforms must verify registration. Reduced Airbnb listings by 90%+.,Democratic council,Active,NYC Office of Special Enforcement,https://www.nyc.gov/site/specialenforcement/registration-and-enforcement/registration.page
Short-Term Rental Regulation,City,"San Francisco, CA",2015,Ordinance 218-14 (Office of Short-Term Rentals),Legalized and regulated STRs; primary residence only; 90-day cap for unhosted rentals; mandatory registration.,Democratic supermajority,Active (amended multiple times),SF Office of Short-Term Rentals,https://www.sf.gov/topics/short-term-rentals
Short-Term Rental Regulation,City,"Santa Monica, CA",2015,Ordinance 2535,Effectively banned whole-home vacation rentals; only home-sharing (host present) allowed; wiped out ~80% of Airbnb listings.,Nonpartisan council,Active,City of Santa Monica,https://www.santamonica.gov/housing/short-term-rentals
Short-Term Rental Regulation,City,"Nashville, TN",2017,Ordinance BL2017-608,Banned new non-owner-occupied STR permits in residential zones; phased out existing ones by 2020.,Nonpartisan council,Active,Nashville Metro Codes Department,https://www.nashville.gov/departments/codes/short-term-rental-permits
Short-Term Rental Regulation,City,"Austin, TX",2016,Ordinance 20160223-A.1 (STR Amendments),Prohibited new non-owner-occupied STR permits in residential zones; all Type-2 permits expired by 2022.,Nonpartisan council,Active,Austin Code Department,https://www.austintexas.gov/department/short-term-rental-licensing
Short-Term Rental Regulation,City,"Los Angeles, CA",2018,Home-Sharing Ordinance (CF 14-1635-S2),Limits STRs to primary residence; 120-day annual cap; registration and platform accountability requirements.,Nonpartisan council (Democratic-leaning),Active,LA Dept. of City Planning,https://planning.lacity.gov/plans-policies/home-sharing
Short-Term Rental Regulation,City,"Chicago, IL",2016,Shared Housing Ordinance,Registration requirement; prohibits single-night rentals; three-strikes rule for nuisance violations.,Democratic council,Active,Chicago BACP,https://www.chicago.gov/city/en/depts/bacp/provdrs/bus/svcs/sharedhousing.html
Short-Term Rental Regulation,City,"Honolulu, HI",2022,Ordinance 22-7 (Bill 41),Raised minimum rental period to 90 days in most residential areas; effectively banned most STRs.,Nonpartisan council,Active,Dept. of Planning and Permitting,https://www.honolulu.gov/dpp/short-term-rentals.html
Short-Term Rental Regulation,State,New York,2024,S.885C/A.4130C (Statewide STR Framework),First statewide STR framework in U.S.; requires platform tax collection/remittance and quarterly reporting.,Democratic trifecta,Active (effective 2025),NY Dept. of Taxation and Finance,https://www.nysenate.gov/legislation/bills/2023/S885C
Short-Term Rental Regulation,City,"Barcelona, Spain",2024,Short-Term Rental License Phase-Out,"Announced phase-out of all 10,000+ tourist apartment licenses by November 2028.",Left coalition,Active (implementation in progress),Barcelona City Council,https://www.barcelona.cat/infobarcelona/en/tema/housing/the-city-will-recover-10000-properties-used-as-tourist-flats_1387043.html
Short-Term Rental Regulation,City,"Florence, Italy",2023,Historic Center STR Ban,Banned new short-term rental licenses in UNESCO-listed historic city center.,Center-left,Active,Florence City Council,https://www.comune.fi.it/
Autonomous Vehicles,State,Nevada,2011,AB 511,First U.S. state to authorize operation of autonomous vehicles; established testing framework.,Divided government,Active (amended),Nevada DMV,https://www.leg.state.nv.us/Session/76th2011/Bills/AB/AB511_EN.pdf
Autonomous Vehicles,State,California,2012,SB 1298,Authorized DMV to develop regulations for testing and deployment of autonomous vehicles on public roads.,Democratic trifecta,Active (amended multiple times),California DMV Autonomous Vehicles Branch,https://www.dmv.ca.gov/portal/vehicle-industry-services/autonomous-vehicles/
Autonomous Vehicles,State,Arizona,2015,Executive Order 2015-09,Governor Ducey issued executive order enabling AV testing without prior permits; made Arizona most permissive state.,Republican trifecta,Active (codified 2018 via EO 2018-04),Arizona DOT,https://azgovernor.gov/governor/news/2015/08/governor-ducey-issues-executive-order-advancement-self-driving-vehicles-arizona
Autonomous Vehicles,State,Texas,2017,SB 2205,Authorized operation of AVs without conventional driver; defined vehicle owner as 'operator' for liability purposes.,Republican trifecta,Active,Texas DMV / TxDOT,https://capitol.texas.gov/BillLookup/History.aspx?LegSess=85R&Bill=SB2205
Autonomous Vehicles,State,Florida,2019,HB 311,Authorized fully autonomous vehicles to operate on Florida roads without human driver present.,Republican trifecta,Active,Florida DHSMV,https://www.flsenate.gov/Session/Bill/2019/311
Autonomous Vehicles,State,California,2024,SB 915 (AV Safety Accountability),Requires manufacturers to continuously monitor every AV on road; designate remote human operator; allows local enforcement of traffic laws.,Democratic trifecta,Active,California DMV / CPUC,https://leginfo.legislature.ca.gov/faces/billNavClient.xhtml?bill_id=202320240SB915
Autonomous Vehicles,City,"San Francisco, CA",2023,Resolution opposing CPUC AV expansion,Board of Supervisors passed resolution opposing CPUC approval of expanded Waymo/Cruise commercial robotaxi service.,Democratic supermajority,Advisory (non-binding),SF Board of Supervisors,https://sfbos.org/
Autonomous Vehicles,State,Pennsylvania,2022,Act 143 (AV Testing),Authorized testing of highly automated vehicles with human safety driver; established PennDOT oversight.,Divided government,Active,PennDOT,https://www.legis.state.pa.us/cfdocs/legis/li/uconsCheck.cfm?yr=2022&sessInd=0&act=143
Autonomous Vehicles,State,Georgia,2017,SB 219,Authorized AVs without human driver; established insurance requirements.,Republican trifecta,Active,Georgia DDS,https://www.legis.ga.gov/legislation/20012
Autonomous Vehicles,State,Michigan,2016,SB 995-999 (SAVE Act package),Comprehensive AV legislation allowing driverless testing and deployment; established regulatory framework.,Republican trifecta,Active,Michigan Secretary of State / MDOT,https://www.legislature.mi.gov/documents/2015-2016/publicact/htm/2016-PA-0332.htm
Broadband / Digital Divide,City,"Chattanooga, TN",2015,EPB Fiber Optics (Expansion),City-owned electric utility expanded 10 Gbps fiber network; became national model for municipal broadband.,Nonpartisan,Active,EPB (Electric Power Board),https://epb.com/fiber-optics/
Broadband / Digital Divide,State,Colorado,2023,SB 23-152,Removed barriers to municipal broadband; authorized local governments to provide broadband service.,Democratic trifecta,Active,Colorado Broadband Office,https://leg.colorado.gov/bills/sb23-152
Broadband / Digital Divide,State,Washington,2021,SB 5383,Authorized port districts and public utility districts to provide broadband services directly to consumers.,Democratic trifecta,Active,Washington State Broadband Office,https://app.leg.wa.gov/billsummary?BillNumber=5383&Year=2021
Broadband / Digital Divide,State,North Carolina,2023,HB 259 (FIBER NC Act),Relaxed restrictions on municipal broadband that had been in place since 2011; allowed electric cooperatives to offer broadband.,Republican trifecta (bipartisan vote),Active,NC Dept. of IT / Broadband Office,https://www.ncleg.gov/Sessions/2023/Bills/House/PDF/H259v7.pdf
Broadband / Digital Divide,State,Maine,2021,LD 1484 (Maine Connectivity Authority),Created independent state authority to coordinate broadband expansion and manage federal broadband funds.,Divided government,Active,Maine Connectivity Authority,https://www.maineconnectivity.org/
Broadband / Digital Divide,State,Virginia,2020,HB 1280 (Virginia Broadband Advisory Council),Created state broadband office and advisory council; authorized $700M+ in state broadband funding.,Divided government,Active,Virginia Dept. of Housing and Community Development,https://www.dhcd.virginia.gov/broadband
Broadband / Digital Divide,City,"Fort Collins, CO",2017,Ballot Measure 2B,Voters approved city to build and operate municipal broadband network after overcoming state preemption law.,Nonpartisan,Active (Connexion network operational),Fort Collins Connexion,https://www.fcgov.com/connexion/
Broadband / Digital Divide,State,California,2021,SB 156 ($6B Broadband Package),Largest state broadband investment; created open-access middle-mile network; funded last-mile grants.,Democratic trifecta,Active,California Dept. of Technology / CPUC,https://leginfo.legislature.ca.gov/faces/billNavClient.xhtml?bill_id=202120220SB156
Broadband / Digital Divide,State,New York,2021,Affordable Broadband Act,Required ISPs to offer $15/month broadband plans to qualifying low-income households. Blocked by court as preempted.,Democratic trifecta,Struck down (2021; federal preemption),NY Public Service Commission,https://www.nysenate.gov/legislation/bills/2021/A8805
Algorithmic Decision-Making,City,"New York City, NY",2021,Local Law 144 (Automated Employment Decision Tools),First U.S. law requiring bias audits for AI hiring tools; mandates notice to candidates; enforced from July 2023.,Democratic council,Active,NYC Dept. of Consumer and Worker Protection,https://legistar.council.nyc.gov/LegislationDetail.aspx?ID=4344524
Algorithmic Decision-Making,State,Illinois,2019,AI Video Interview Act (HB 2557),First U.S. law regulating AI in hiring; requires consent for AI-analyzed video interviews; right to deletion.,Democratic trifecta,"Active (expanded by HB 3773, 2024)",Illinois DCEO,https://www.ilga.gov/legislation/publicacts/101/PDF/101-0260.pdf
Algorithmic Decision-Making,State,Illinois,2024,HB 3773 (AI in Employment Amendment),Expanded AI hiring regulation beyond video interviews; prohibits AI that discriminates based on protected class.,Democratic trifecta,Active (effective Jan 2026),Illinois DCEO,https://www.ilga.gov/legislation/publicacts/103/PDF/103-0804.pdf
Algorithmic Decision-Making,State,Colorado,2024,SB 24-205 (AI Consumer Protections),First state comprehensive AI law; requires developers and deployers of high-risk AI to use reasonable care to avoid algorithmic discrimination.,Democratic trifecta,Active (effective Feb 2026),Colorado AG,https://leg.colorado.gov/bills/sb24-205
Algorithmic Decision-Making,City,"Santa Cruz, CA",2020,Ordinance (Predictive Policing Ban),Banned use of predictive policing technology by city departments.,Nonpartisan council,Active,City of Santa Cruz PD,https://www.cityofsantacruz.com/
Algorithmic Decision-Making,City,"New Orleans, LA",2020,Ordinance No. 033271,Banned use of predictive policing technology alongside facial recognition ban.,Democratic council,Active (facial recognition portion amended 2022),New Orleans PD,https://nola.gov/
Algorithmic Decision-Making,City,"Los Angeles, CA",2020,LAPD Discontinuation of PredPol/Geolitica,LAPD discontinued use of PredPol predictive policing software following public pressure and audits showing racial bias.,Nonpartisan council (Democratic-leaning),Active (discontinued),LAPD / LA Police Commission,https://www.lapdonline.org/
